Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team,Goal_Difference,Result_Clean
2025-11-17,20:45 (14:45),WCQ,First round,Mon,Home,W,6.0,0.0,gi Gibraltar,73.0,6587.0,Tomáš Souček,4-2-3-1,5-4-1,Sascha Stegemann,Match Report,,Czechia,6.0,Win
2025-11-13,18:00 (12:00),Friendlies (M),Friendlies (M),Thu,Home,W,1.0,0.0,sm San Marino,,3721.0,Tomáš Souček,4-2-3-1,4-1-4-1,Paweł Raczkowski,Match Report,,Czechia,1.0,Win
2025-10-12,17:00 (11:00),WCQ,First round,Sun,Away,L,1.0,2.0,fo Faroe Islands,63.0,2980.0,Tomáš Souček,4-2-3-1,3-4-3,Andrea Colombo,Match Report,,Czechia,-1.0,Loss
2025-10-09,20:45 (13:45),WCQ,First round,Thu,Home,D,0.0,0.0,hr Croatia,42.0,18870.0,Tomáš Souček,4-2-3-1,4-2-3-1,François Letexier,Match Report,,Czechia,0.0,Draw
2025-09-08,19:15 (12:15),Friendlies (M),Friendlies (M),Mon,Home,D,1.0,1.0,sa Saudi Arabia,,8300.0,Václav Jemelka,3-4-3,4-1-4-1,Martin Dohál,Match Report,,Czechia,0.0,Draw
2025-09-05,20:45 (13:45),WCQ,First round,Fri,Away,W,2.0,0.0,me Montenegro,49.0,6315.0,Tomáš Souček,4-2-3-1,4-3-3,Marco Guida,Match Report,,Czechia,2.0,Win
2025-06-09,20:45 (13:45),WCQ,First round,Mon,Away,L,1.0,5.0,hr Croatia,39.0,12207.0,Tomáš Souček,3-4-3,4-2-3-1,Jesús Gil,Match Report,,Czechia,-4.0,Loss
2025-06-06,20:45 (13:45),WCQ,First round,Fri,Home,W,2.0,0.0,me Montenegro,57.0,10889.0,Tomáš Souček,4-2-3-1,3-4-3,Serdar Gözübüyük,Match Report,,Czechia,2.0,Win
2025-03-25,20:45 (14:45),WCQ,First round,Tue,Away,W,4.0,0.0,gi Gibraltar,80.0,583.0,Tomáš Souček,4-2-3-1,4-3-3,Horațiu Fesnic,Match Report,,Czechia,4.0,Win
2025-03-22,20:45 (14:45),WCQ,First round,Sat,Home,W,2.0,1.0,fo Faroe Islands,68.0,8978.0,Tomáš Souček,4-4-2,3-4-3,Rade Obrenović,Match Report,,Czechia,1.0,Win
